country,locust_risk,covid_locust_risk
Mauritania,Low,
Mali,Low,
Niger,Low,
Algeria,Low,
Morocco,Low,
Libya,Low,
Sudan,Medium,
Eritrea,High,High
Ethiopia,High,High
Djibouti,Low,
Somalia,High,High
Kenya,High,High
Tanzania,Low,
South Sudan,High,High
Uganda,Medium,
Egypt,Medium,
Saudi Arabia,Medium,
Yemen,High,
Oman,Medium,
Iraq,Low,
Kuwait,Low,
Bahrain,Low,
Qatar,Low,
United Arab Emirates,Low,
Iran,High,High
Pakistan,High,High
India,Medium,High
Afghanistan,Medium,Moderate